DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
231509040,4/29/2023,6/1/2021,1,N Hollywood,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),11,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5700    BUCKNELL                     AV
222014640,9/3/2022,7/1/2021,2200,Olympic,CRIMINAL THREATS - NO WEAPON DISPLAYED,26,M,O,VERBAL THREAT,Invest Cont,4500    ROSEWOOD                     AV
221711421,7/19/2022,9/5/2021,1200,Devonshire,THEFT OF IDENTITY,30,M,B,,Invest Cont,19500    NORDHOFF                     ST
222118312,12/30/2022,8/1/2021,1200,Topanga,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",76,F,W,,Invest Cont,7300    DELCO                        AV
220211949,6/14/2022,8/8/2021,800,Rampart,THEFT OF IDENTITY,58,X,B,,Invest Cont,700    WITMER                       ST
222010707,6/2/2022,6/2/2021,1800,Olympic,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1700    ORCHARD                      AV
220212673,6/30/2022,6/7/2021,1200,Rampart,THEFT OF IDENTITY,12,M,H,,Invest Cont,200 N  RENO                         ST
230704324,1/8/2023,9/8/2021,1700,Wilshire,DOCUMENT FORGERY / STOLEN FELONY,-1,X,X,,Invest Cont,7600    MELROSE                      AV
220710565,6/18/2022,10/12/2021,1017,Wilshire,BATTERY - SIMPLE ASSAULT,76,F,A,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 S  LUCERNE                      BL
221421265,12/21/2022,12/20/2021,2120,Pacific,VEHICLE - STOLEN,0,,,,Invest Cont,5700 W  CENTURY                      BL
221716568,11/22/2022,11/27/2021,830,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",42,F,A,,Invest Cont,18400    PLUMMER                      ST
220513054,8/29/2022,12/19/2021,1315,Harbor,THEFT OF IDENTITY,45,F,W,,Invest Cont,26300    GOVERNOR                     AV
220513572,9/11/2022,2/1/2021,1,Harbor,THEFT OF IDENTITY,58,F,H,,Invest Cont,26100    FRAMPTON                     AV
221614063,11/7/2022,10/14/2021,1145,Foothill,THEFT OF IDENTITY,35,F,H,,Invest Cont,13100    MERCER                       ST
221710848,6/30/2022,1/1/2021,800,Devonshire,"BUNCO, GRAND THEFT",69,M,W,,Invest Cont,20500    HIAWATHA                     ST
220815880,10/21/2022,10/20/2021,1900,West LA,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),52,M,O,,Invest Cont,3400    CLUB                         DR
221510880,6/9/2022,7/5/2021,1,N Hollywood,THEFT OF IDENTITY,31,M,W,,Invest Cont,12300    VENTURA                      BL
220900950,9/3/2022,7/10/2021,1000,Van Nuys,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",45,M,W,,Invest Cont,14400    VALERIO                      ST
231507730,3/31/2023,11/3/2021,1200,N Hollywood,THEFT OF IDENTITY,29,M,H,,Invest Cont,5300    CARTWRIGHT                   AV
220119847,9/2/2022,6/1/2021,1200,Central,THEFT OF IDENTITY,58,M,K,,Invest Cont,900 W  OLYMPIC                      BL
220618001,10/24/2022,10/26/2021,1140,Hollywood,BATTERY - SIMPLE ASSAULT,53,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1800 N  LAS PALMAS                   AV
231006044,2/21/2023,4/15/2021,1200,West Valley,"BUNCO, GRAND THEFT",63,F,W,,Invest Cont,6500    HAYVENHURST                  AV
230305858,2/6/2023,12/8/2021,1200,Southwest,THEFT PLAIN - PETTY ($950 & UNDER),21,M,W,,Invest Cont,700 W  23RD                         ST
